filepath,cluster
../ead_exemples/ape-FRAC44143_000171.xml,4
../ead_exemples/ape-FRAC44143_000172.xml,1
../ead_exemples/ape-FRAC44143_000173.xml,4
../ead_exemples/ape-FRAC44143_000174.xml,4
../ead_exemples/ape-FRAC44143_000175.xml,5
../ead_exemples/ape-FRAC44143_000176.xml,4
../ead_exemples/ape-FRAC44143_000177.xml,1
../ead_exemples/ape-FRAD032_000003.xml,4
../ead_exemples/ape-FRAD032_000014.xml,1
../ead_exemples/ape-FRAD032_000015.xml,1
../ead_exemples/ape-FRAD032_000016.xml,1
../ead_exemples/ape-FRAD032_000017.xml,1
../ead_exemples/ape-FRAD032_000018.xml,1
../ead_exemples/ape-FRAD032_000036.xml,1
../ead_exemples/ape-FRAD032_000037.xml,5
../ead_exemples/ape-FRAD032_000038.xml,1
../ead_exemples/ape-FRAD032_000044.xml,5
../ead_exemples/ape-FRAD032_000045.xml,5
../ead_exemples/ape-FRAD032_000068.xml,5
../ead_exemples/ape-FRAD032_000070.xml,5
../ead_exemples/ape-FRAD032_000086.xml,5
../ead_exemples/ape-FRAD032_000092.xml,5
../ead_exemples/ape-FRAD032_000093.xml,5
../ead_exemples/ape-FRAD032_000095.xml,5
../ead_exemples/ape-FRAD032_000096.xml,5
../ead_exemples/ape-FRAD032_000097.xml,5
../ead_exemples/ape-FRAD032_000098.xml,5
../ead_exemples/ape-FRAD032_000099.xml,5
../ead_exemples/ape-FRAD032_000262.xml,5
../ead_exemples/ape-FRAD032_000321.xml,5
../ead_exemples/ape-FRAD032_000429.xml,5
../ead_exemples/ape-FRAD042_605411.xml,4
../ead_exemples/ape-FRAD042_606051.xml,4
../ead_exemples/ape-FRAD042_609589.xml,4
../ead_exemples/ape-FRAD042_648086.xml,3
../ead_exemples/ape-FRAD042_652774.xml,4
../ead_exemples/ape-FRAD070_166Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_170Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_175Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_177Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_183edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_195Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_198Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_199Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_200Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_201Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_205Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_206Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_211Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_215Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_220Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_225Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_226Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_227Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_228Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_229Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_230Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_231Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_233Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_237Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_238Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_239Edepot_rpnum_001.xml,1
../ead_exemples/ape-FRAD070_242Edepot_rpnum_001.xml,1
