filepath,cluster
ead_exemples/ape-FRAC44143_000171.xml,2
ead_exemples/ape-FRAC44143_000172.xml,4
ead_exemples/ape-FRAC44143_000173.xml,2
ead_exemples/ape-FRAC44143_000174.xml,2
ead_exemples/ape-FRAC44143_000175.xml,1
ead_exemples/ape-FRAC44143_000176.xml,2
ead_exemples/ape-FRAC44143_000177.xml,4
ead_exemples/ape-FRAD032_000003.xml,2
ead_exemples/ape-FRAD032_000014.xml,4
ead_exemples/ape-FRAD032_000015.xml,2
ead_exemples/ape-FRAD032_000016.xml,4
ead_exemples/ape-FRAD032_000017.xml,4
ead_exemples/ape-FRAD032_000018.xml,4
ead_exemples/ape-FRAD032_000036.xml,4
ead_exemples/ape-FRAD032_000037.xml,1
ead_exemples/ape-FRAD032_000038.xml,4
ead_exemples/ape-FRAD032_000044.xml,1
ead_exemples/ape-FRAD032_000045.xml,1
ead_exemples/ape-FRAD032_000068.xml,1
ead_exemples/ape-FRAD032_000070.xml,1
ead_exemples/ape-FRAD032_000086.xml,1
ead_exemples/ape-FRAD032_000092.xml,1
ead_exemples/ape-FRAD032_000093.xml,1
ead_exemples/ape-FRAD032_000095.xml,1
ead_exemples/ape-FRAD032_000096.xml,1
ead_exemples/ape-FRAD032_000097.xml,1
ead_exemples/ape-FRAD032_000098.xml,1
ead_exemples/ape-FRAD032_000099.xml,1
ead_exemples/ape-FRAD032_000262.xml,1
ead_exemples/ape-FRAD032_000321.xml,1
ead_exemples/ape-FRAD032_000429.xml,1
ead_exemples/ape-FRAD077_3331W4.xml,2
ead_exemples/ape-FRAD077_3331W5-1.xml,2
ead_exemples/ape-FRAD077_3331W5-2.xml,2
ead_exemples/ape-FRAD077_3331W5-3.xml,2
ead_exemples/ape-FRAD077_3331W5-4.xml,2
ead_exemples/ape-FRANOM_00098.xml,4
ead_exemples/ape-FRANOM_00100.xml,4
ead_exemples/ape-FRANOM_00101.xml,4
ead_exemples/ape-FRANOM_00102.xml,4
ead_exemples/ape-FRANOM_00103.xml,4
ead_exemples/ape-FRBNF_EAD000014032.xml,0
ead_exemples/ape-FRBNF_EAD000014033.xml,0
ead_exemples/ape-FRBNF_EAD000014034.xml,0
ead_exemples/ape-FRBNF_EAD000014035.xml,0
ead_exemples/ape-FRBNF_EAD000014036.xml,0
ead_exemples/ape-FRBNF_EAD000014037.xml,0
ead_exemples/ape-FRBNF_EAD000014038.xml,0
ead_exemples/ape-frad001_ec_aranc.xml,3
ead_exemples/ape-frad001_ec_arandas.xml,3
ead_exemples/ape-frad001_ec_arbent.xml,3
ead_exemples/ape-frad001_ec_arbignieu.xml,3
ead_exemples/ape-frad001_ec_arbigny.xml,3
